,x1,T1
0,0.008464,1700.239
1,0.009821,1721.346
2,0.010427,1739.765
3,0.011418,1758.569
4,0.013167,1779.291
5,0.014169,1796.943
6,0.015555,1814.98
7,0.017314,1834.551
8,0.017906,1854.506
9,0.018886,1874.46
10,0.020611,1897.869
11,0.021954,1920.51
12,0.023671,1944.686
13,0.023882,1963.873
14,0.025606,1987.282
15,0.026576,2008.387
16,0.028304,2031.412
17,0.029255,2054.437
18,0.030983,2077.462
19,0.033085,2102.022
20,0.03404,2124.663
21,0.035006,2146.153
22,0.035595,2166.491
23,0.036949,2187.981
24,0.038694,2209.087
25,0.041999,2229.427
26,0.049574,2249.769
27,0.057199,2264.739
28,0.067946,2277.793
